,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
132,Tukipo River at Makaretu Road 120,133,6,8769.6,8168482,909,0,54,22,112,8,POINT (1881705.8 5574623.2),909
133,Tukipo River at Site 2,134,3,16934.4,8170079,1528,0,63,47,208,3,POINT (1894114.8 5570022.5),1528
134,Tukipo River at Site 3,135,3,16070.400000000001,8170145,1520,0,64,44,206,7,POINT (1892914 5570022.3),1520
135,Tukipo River at State Highway 50,136,22,20653.920000000002,8169865,1269,0,62,28,164,4,POINT (1884774.5 5570701.3),1269
136,Tukipo River at State Highway 50_gaugings,137,22,20653.920000000002,8169865,1269,0,62,28,164,4,POINT (1884774.5 5570701.3),1269
137,Tukipo River at Transmission Line,138,3,9244.800000000001,8170610,1490,0,66,33,200,4,POINT (1887410.5 5568820.6),1490
138,Tukipo Trib at Trib 3,139,6,25652.160000000003,8169946,1165,0,63,47,143,3,POINT (1894214.8 5570222.6),1165
139,Tukipo Trib at Trib 3_gaugings,140,6,25652.160000000003,8169946,1165,0,63,47,143,3,POINT (1894214.8 5570222.6),1165
140,Tukituki River D/S Ashcott Intake,141,2,119880.0,8168557,1365,0,54,30,177,23,POINT (1885708.4 5574524),1365
141,Tukituki River D/S Kahahakuri,142,1,0.0,8170945,1599,0,66,57,222,1,POINT (1899971.5 5567787.5),1599
142,Tukituki River D/S Tukipo,143,5,73785.6,8170522,1598,0,66,57,221,2,POINT (1899446.7 5568735.2),1598
143,Tukituki River D/S Waipuk Onga Road,144,1,2350.08,8169831,1591,0,61,53,220,4,POINT (1897565 5571014.7),1591
144,Tukituki River U/S Ashcott Intake,145,2,136857.6,8168557,1362,0,53,28,177,20,POINT (1885007.7 5575424.4),1362
145,Tukituki River U/S Ashcott Water Race,146,9,218678.40000000002,8168557,1359,0,51,27,177,17,POINT (1884136 5576123.7),1359
